,자치구,행정동,면적,개소,주차면수,거주인구,대중교통이용,사업체수,종사자수,총생활인구수,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,상주인구,유출인구,유입인구,도소매,숙박 및 음식점,서비스업
131,강북구,번2동,0.95,500,4328,15397,8384.29908675799,912,3732,12320.089931396138,290,2625,224,3558,26,28283.06,524480.33,523175.33,236,59,90
132,강북구,번3동,1.1,129,4842,16449,6832.445205479452,1126,3302,14802.851081249999,35,6861,66,271,24,30772.95,433985.34,433354.66,235,88,151
133,강북구,수유1동,1.67,1026,5866,20501,13028.5799086758,2031,5815,16845.088905483557,1541,622,494,4051,73,32427.19,519474.24,518608.08999999997,649,287,197
134,강북구,수유2동,0.57,860,7176,21054,8982.05707762557,1828,4637,17974.828731994046,868,2640,204,3412,119,85346.93,792629.88,791809.68,459,200,212
135,강북구,수유3동,0.72,1338,7327,23778,19398.662100456622,3235,9873,29447.199096875,1793,301,247,3485,136,134516.34,1340417.13,1341878.56,747,803,439
136,강북구,삼양동,0.91,687,6786,23090,11324.931506849314,1562,4104,23626.727309523812,1885,2647,612,2606,58,45085.72,620620.08,619077.01,369,138,226
137,강북구,미아동,0.93,971,7367,21685,23777.728310502283,2337,6971,23885.731001934524,1470,1100,444,3450,91,105797.1,1032871.94,1032610.01,612,381,274
138,강북구,송중동,1.01,1105,9441,29910,30833.956621004567,3022,8752,36478.83565922619,1991,2985,475,3261,91,226259.38,1402515.65,1403021.83,860,545,375
139,강북구,송천동,0.9,980,7837,25998,38250.01826484018,2658,7730,27251.68042485119,3011,1255,208,2568,123,158392.05,1281623.69,1279724.88,620,397,299
140,강북구,삼각산동,0.62,45,12858,30939,6690.319634703196,1405,2949,20592.265401041666,50,11291,200,24,11,91164.71,595806.73,593964.34,416,141,271
141,강북구,우이동,10.28,1185,6600,20407,14606.44292237443,1557,5515,18900.21995595238,1134,856,640,4415,77,115596.75,844809.35,845864.5599999999,398,325,164
142,강북구,인수동,3.28,1738,9633,29916,8438.634703196347,2226,6650,28402.87878645834,1817,670,1089,6427,125,104222.44,919243.69,917561.29,551,250,257
143,도봉구,쌍문1동,1.24,898,7242,21445,7411.648401826484,1457,4787,16745.211292708333,948,1971,753,3811,47,61811.71,627441.92,626074.29,363,150,184
144,도봉구,쌍문2동,0.54,775,6249,18461,8677.127853881278,1680,5781,17063.06212125877,645,2973,270,2533,52,51863.42,764979.55,763927.13,391,226,272
145,도봉구,쌍문3동,0.5,779,5627,16934,7304.365296803653,1307,4323,16843.64365539217,814,1930,171,2055,52,44656.71,575806.07,575457.24,365,185,162
146,도봉구,쌍문4동,0.52,164,4711,18348,5457.504566210046,907,2236,13006.080867366294,91,6120,88,525,11,20706.89,476380.92,475730.47,226,56,190
147,도봉구,방학1동,0.69,1227,13443,28410,14641.191780821919,2996,13758,23035.568403869045,1070,4495,352,2314,100,136162.49,1028075.58,1028199.17,749,508,441
148,도봉구,방학2동,0.74,1312,5715,19354,4103.351598173516,1576,3226,11847.44119790314,1072,234,845,3907,91,30903.0,387246.02999999997,386929.48,416,172,164
149,도봉구,방학3동,2.62,151,6835,26500,8166.95205479452,1476,3861,21334.079139762172,65,9237,45,337,14,45212.68,709674.59,708485.24,340,91,225
150,도봉구,창1동,0.88,401,6767,24502,40450.47716894977,2141,4381,20515.153498363095,399,7314,293,976,42,53675.09,750557.1,749631.2,479,188,229
151,도봉구,창2동,1.05,1048,10273,28957,6757.86301369863,2020,4978,29029.218906994047,665,2942,343,4788,60,90380.81999999999,1042931.08,1041074.46,530,178,213
152,도봉구,창3동,0.67,833,3729,13633,4639.458904109589,1241,2511,10371.175226472642,1083,1163,120,1571,40,17823.74,305470.7,305130.84,311,173,124
