"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",성북구,길음1동,35000,16560,18440,16498,18347,62,93,34958,16546,18412,16484,18321,62,91,34946,16536,18410,16476,18320,60,90
"합계",성북구,길음2동,21728,10450,11278,10376,11206,74,72,21747,10462,11285,10391,11213,71,72,21767,10450,11317,10377,11244,73,73
"합계",성북구,월곡1동,26169,12588,13581,12512,13438,76,143,26170,12588,13582,12513,13438,75,144,26175,12581,13594,12506,13449,75,145
"합계",성북구,월곡2동,19739,9442,10297,9198,9946,244,351,19740,9432,10308,9193,9961,239,347,19772,9411,10361,9173,10015,238,346
"합계",성북구,장위1동,24082,11731,12351,11661,12228,70,123,24035,11683,12352,11610,12227,73,125,24006,11671,12335,11596,12205,75,130
"합계",성북구,장위2동,13622,6685,6937,6590,6799,95,138,13613,6676,6937,6586,6798,90,139,13599,6663,6936,6573,6799,90,137
"합계",성북구,장위3동,15868,7747,8121,7676,8052,71,69,15866,7751,8115,7680,8040,71,75,15877,7772,8105,7700,8027,72,78
"합계",성북구,성북동,16889,7836,9053,7579,8693,257,360,16876,7836,9040,7573,8681,263,359,16867,7826,9041,7567,8679,259,362
"합계",성북구,삼선동,23044,10866,12178,10676,11780,190,398,23002,10862,12140,10671,11738,191,402,23019,10860,12159,10679,11754,181,405
"합계",성북구,동선동,15870,6523,9347,6287,8788,236,559,15794,6478,9316,6255,8750,223,566,15877,6506,9371,6277,8800,229,571
"합계",성북구,종암동,40111,19599,20512,18875,19297,724,1215,40057,19574,20483,18845,19258,729,1225,40063,19586,20477,18862,19267,724,1210
"합계",성북구,석관동,35315,17399,17916,17007,17454,392,462,35237,17350,17887,16959,17423,391,464,35222,17346,17876,16955,17405,391,471
"합계",강북구,번1동,18578,9270,9308,9114,9003,156,305,18598,9287,9311,9126,8999,161,312,18600,9267,9333,9094,9005,173,328
"합계",강북구,번2동,15397,7415,7982,7383,7925,32,57,15382,7412,7970,7381,7911,31,59,15341,7390,7951,7364,7892,26,59
