"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명 이상,1000명 이상
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",광진구,중곡1동,2152,725,6363,3474,2889,1885,2908,178,1097,58,755,22,572,5,413,4,618,-,-,-,-,-,-
"합계",광진구,중곡2동,2350,922,7380,3874,3506,2049,3099,175,1093,82,1051,37,1008,3,230,3,409,1,490,-,-,-,-
"합계",광진구,중곡3동,1764,632,5019,2629,2390,1586,2368,127,804,26,340,19,575,4,332,1,150,1,450,-,-,-,-
"합계",광진구,중곡4동,1707,697,4257,2084,2173,1568,2304,82,506,33,428,17,499,7,520,-,-,-,-,-,-,-,-
"합계",광진구,능동,1214,439,6229,3428,2801,951,1455,146,947,77,991,29,913,4,262,5,679,1,435,1,547,-,-
"합계",광진구,구의1동,2623,934,7443,4018,3425,2385,3450,163,1022,38,489,23,685,10,677,2,453,2,667,-,-,-,-
"합계",광진구,구의2동,1929,730,5989,3123,2866,1714,2390,128,808,52,652,17,509,13,919,5,711,-,-,-,-,-,-
"합계",광진구,구의3동,3708,1222,16217,9466,6751,3190,4849,309,1962,125,1595,52,1581,13,849,14,2153,3,1154,1,905,1,1169
"합계",광진구,광장동,2180,842,14269,8961,5308,1832,2861,196,1240,96,1212,31,951,13,901,6,850,2,759,3,2227,1,3268
"합계",광진구,자양1동,2303,922,9645,5027,4618,2019,2975,184,1146,53,708,26,755,13,892,5,972,2,790,-,-,1,1407
"합계",광진구,자양2동,2196,728,7033,4080,2953,2006,2808,103,674,48,614,22,667,9,611,7,1061,-,-,1,598,-,-
"합계",광진구,자양3동,1922,780,7600,3651,3949,1637,2379,182,1187,60,807,26,711,8,529,7,1041,1,330,1,616,-,-
"합계",광진구,자양4동,2197,836,6234,3502,2732,1973,2879,143,898,56,702,18,535,3,200,3,653,1,367,-,-,-,-
"합계",동대문구,회기동,1293,504,10348,4835,5513,1110,1793,122,784,33,424,14,459,7,551,4,644,-,-,1,665,2,5028
"합계",동대문구,휘경1동,1285,513,3690,1799,1891,1141,1673,93,573,34,426,12,334,3,210,2,474,-,-,-,-,-,-
"합계",동대문구,휘경2동,1665,462,5457,2660,2797,1531,1927,80,516,26,325,12,361,13,948,2,329,-,-,-,-,1,1051
"합계",동대문구,청량리동,1909,694,8278,4347,3931,1681,2597,136,827,49,672,25,679,6,384,8,1395,3,1178,1,546,-,-
"합계",동대문구,용신동,6982,2228,30470,15892,14578,6058,9421,535,3357,208,2605,112,3253,31,2112,31,4466,3,1212,2,1325,2,2719
"합계",동대문구,제기동,5355,1836,13094,7788,5306,5013,7309,211,1342,75,969,43,1239,11,744,1,183,-,-,-,-,1,1308
"합계",동대문구,전농1동,3020,1185,7638,4102,3536,2774,4245,168,1024,51,645,16,445,7,575,4,704,-,-,-,-,-,-
"합계",동대문구,전농2동,1358,514,5460,2982,2478,1219,1663,87,536,29,374,13,388,8,539,1,156,-,-,-,-,1,1804
"합계",동대문구,답십리1동,3799,1186,9651,5267,4384,3505,4922,192,1212,67,827,22,621,6,358,6,1050,-,-,1,661,-,-
"합계",동대문구,답십리2동,2847,912,8207,4769,3438,2522,3858,209,1318,74,973,31,932,8,609,3,517,-,-,-,-,-,-
"합계",동대문구,장안1동,6654,2017,22326,12275,10051,5763,8848,535,3429,243,3028,72,2169,28,1967,11,1956,1,400,1,529,-,-
"합계",동대문구,장안2동,3956,1477,12725,6567,6158,3430,5240,320,1967,142,1709,43,1296,15,1099,4,557,1,336,1,521,-,-
"합계",동대문구,이문1동,1641,561,6654,3471,3183,1481,2063,96,595,38,515,19,535,3,224,2,344,1,321,-,-,1,2057
"합계",동대문구,이문2동,1049,391,2385,1351,1034,975,1299,45,303,19,239,7,196,1,79,2,269,-,-,-,-,-,-
"합계",중랑구,면목2동,2477,852,5975,3163,2812,2249,3408,145,894,64,743,11,327,7,451,1,152,-,-,-,-,-,-
"합계",중랑구,면목4동,2568,725,4971,3066,1905,2437,3021,82,507,35,439,11,298,1,68,1,111,-,-,1,527,-,-
"합계",중랑구,면목5동,1161,386,3336,2108,1228,1038,1545,79,504,32,397,7,206,2,138,2,227,1,319,-,-,-,-
"합계",중랑구,면목7동,1957,732,4800,2293,2507,1768,2725,121,743,46,558,17,439,5,335,-,-,-,-,-,-,-,-
"합계",중랑구,상봉1동,1952,612,6705,3438,3267,1734,2336,121,786,49,627,27,839,11,800,10,1317,-,-,-,-,-,-
"합계",중랑구,상봉2동,3344,1117,9431,4922,4509,2990,4358,224,1429,82,1010,36,967,7,513,4,773,1,381,-,-,-,-
"합계",중랑구,중화1동,1565,587,4476,2077,2399,1377,1904,126,789,40,534,12,387,7,434,3,428,-,-,-,-,-,-
"합계",중랑구,중화2동,2584,966,7044,4015,3029,2309,3313,189,1147,59,768,20,548,2,121,4,797,1,350,-,-,-,-
"합계",중랑구,묵1동,2326,847,6252,3085,3167,2082,2875,145,925,63,836,24,692,12,924,-,-,-,-,-,-,-,-
"합계",중랑구,묵2동,2393,778,4973,2697,2276,2244,3149,94,605,35,499,17,493,3,227,-,-,-,-,-,-,-,-
"합계",중랑구,망우3동,1507,525,4272,2033,2239,1326,1969,120,731,35,431,21,706,4,285,1,150,-,-,-,-,-,-
"합계",중랑구,신내1동,3257,1059,15420,8706,6714,2729,4011,290,1853,153,1969,57,1603,14,1003,8,1302,5,1868,-,-,1,1811
"합계",중랑구,신내2동,1556,600,7186,3319,3867,1388,1915,92,576,44,558,19,533,7,494,5,805,-,-,-,-,1,2305
"합계",중랑구,면목본동,3481,1336,7511,3485,4026,3238,4762,150,888,68,870,20,606,5,385,-,-,-,-,-,-,-,-
"합계",중랑구,면목3.8동,2776,1016,7878,4026,3852,2541,3687,142,912,66,855,17,456,6,438,2,415,-,-,2,1115,-,-
"합계",중랑구,망우본동,4406,1333,12914,6788,6126,3960,5592,264,1665,116,1441,35,1089,21,1531,10,1596,-,-,-,-,-,-
"합계",성북구,돈암1동,688,274,2087,1034,1053,609,768,46,296,18,247,10,297,4,302,1,177,-,-,-,-,-,-
"합계",성북구,돈암2동,909,421,2893,1103,1790,838,1050,42,281,16,220,10,297,2,159,-,-,-,-,1,886,-,-
"합계",성북구,안암동,1927,590,14353,7071,7282,1606,2630,203,1298,77,985,31,847,4,273,2,333,2,819,-,-,2,7168
"합계",성북구,보문동,1787,645,6720,3338,3382,1572,2400,131,819,53,677,16,497,10,649,2,396,2,682,1,600,-,-
"합계",성북구,정릉1동,1275,472,2752,1490,1262,1165,1631,80,506,19,249,9,229,2,137,-,-,-,-,-,-,-,-
"합계",성북구,정릉2동,1422,518,3344,1722,1622,1305,1684,78,502,21,262,11,322,6,461,1,113,-,-,-,-,-,-
"합계",성북구,정릉3동,1042,353,5404,2894,2510,930,1228,60,366,24,329,13,398,12,791,2,414,-,-,-,-,1,1878
"합계",성북구,정릉4동,1524,574,5018,2808,2210,1393,1901,101,628,13,156,8,264,4,266,3,380,-,-,2,1423,-,-
"합계",성북구,길음1동,1583,738,4419,1707,2712,1412,1912,110,694,37,486,16,462,4,321,4,544,-,-,-,-,-,-
"합계",성북구,길음2동,1696,792,5554,2051,3503,1527,2246,104,666,38,519,14,402,6,402,5,657,2,662,-,-,-,-
"합계",성북구,월곡1동,1841,693,5848,2868,2980,1615,2292,140,902,55,696,14,470,14,925,3,563,-,-,-,-,-,-
"합계",성북구,월곡2동,2162,789,11083,6191,4892,1895,2992,174,1123,53,677,25,730,5,334,4,560,3,958,2,1633,1,2076
"합계",성북구,장위1동,1532,571,3104,1498,1606,1420,1962,81,493,22,263,5,124,4,262,-,-,-,-,-,-,-,-
"합계",성북구,장위2동,1538,541,3865,1787,2078,1378,2087,123,744,20,258,11,344,5,327,1,105,-,-,-,-,-,-
"합계",성북구,장위3동,877,291,2429,1249,1180,775,1016,63,423,23,290,10,276,6,424,-,-,-,-,-,-,-,-
"합계",성북구,성북동,1790,793,6288,2831,3457,1532,2364,159,1016,59,748,27,829,10,705,3,626,-,-,-,-,-,-
"합계",성북구,삼선동,2507,1018,11157,5305,5852,2221,3280,186,1178,60,810,25,796,8,601,4,526,1,308,-,-,2,3658
"합계",성북구,동선동,2682,1106,10483,4459,6024,2285,3545,244,1543,93,1193,40,1198,15,1071,4,639,-,-,-,-,1,1294
"합계",성북구,종암동,2858,1121,8433,4095,4338,2562,3685,189,1227,66,816,25,703,10,683,5,698,-,-,1,621,-,-
"합계",성북구,석관동,3072,1093,8770,4774,3996,2788,3953,171,1089,55,748,45,1319,8,555,4,617,1,489,-,-,-,-
"합계",강북구,번1동,2486,949,10192,4230,5962,2126,3097,204,1292,74,970,49,1571,20,1251,12,1661,1,350,-,-,-,-
"합계",강북구,번2동,912,270,3732,2198,1534,808,1046,44,268,28,365,21,566,7,443,2,377,2,667,-,-,-,-
"합계",강북구,번3동,1126,337,3302,1804,1498,1011,1330,73,462,22,271,11,333,5,370,4,536,-,-,-,-,-,-
"합계",강북구,수유1동,2031,797,5815,2859,2956,1887,2777,88,545,26,324,17,544,9,746,4,879,-,-,-,-,-,-
"합계",강북구,수유2동,1828,642,4637,2251,2386,1659,2311,104,669,42,549,19,553,2,180,2,375,-,-,-,-,-,-
"합계",강북구,수유3동,3235,1257,9873,4641,5232,2872,4324,254,1601,74,985,25,727,8,572,1,206,-,-,-,-,1,1458
"합계",강북구,삼양동,1562,548,4104,1937,2167,1434,2019,89,577,21,279,8,248,7,514,3,467,-,-,-,-,-,-
"합계",강북구,미아동,2337,901,6971,3176,3795,2115,2969,134,846,46,586,31,976,7,520,2,283,2,791,-,-,-,-
"합계",강북구,송중동,3022,1190,8752,3755,4997,2634,3776,251,1590,88,1112,35,1081,11,797,3,396,-,-,-,-,-,-
"합계",강북구,송천동,2658,975,7730,3651,4079,2301,3481,261,1630,56,738,27,776,11,843,2,262,-,-,-,-,-,-
"합계",강북구,삼각산동,1405,605,2949,1233,1716,1293,1611,74,500,26,325,9,274,3,239,-,-,-,-,-,-,-,-
"합계",강북구,우이동,1557,574,5515,3384,2131,1405,1943,85,535,31,410,23,663,5,377,8,1587,-,-,-,-,-,-
"합계",강북구,인수동,2226,762,6650,3321,3329,2029,2736,114,728,42,570,26,793,8,456,6,756,-,-,1,611,-,-
"합계",도봉구,쌍문1동,1457,501,4787,2318,2469,1322,1767,82,529,30,369,8,227,10,723,4,498,-,-,1,674,-,-
"합계",도봉구,쌍문2동,1680,651,5781,3048,2733,1472,2150,117,749,56,727,26,769,6,440,2,420,-,-,1,526,-,-
"합계",도봉구,쌍문3동,1307,512,4323,1997,2326,1172,1660,85,507,33,426,12,371,2,157,1,140,1,314,1,748,-,-
"합계",도봉구,쌍문4동,907,355,2236,1069,1167,833,1076,46,286,17,217,5,131,5,424,1,102,-,-,-,-,-,-
"합계",도봉구,방학1동,2996,1201,13758,7382,6376,2648,3756,212,1345,82,1087,29,1007,10,688,11,1773,2,736,-,-,2,3366
"합계",도봉구,방학2동,1576,519,3226,1700,1526,1474,2111,75,478,16,204,7,210,4,223,-,-,-,-,-,-,-,-
"합계",도봉구,방학3동,1476,447,3861,2009,1852,1340,1676,79,492,37,455,10,356,9,691,1,191,-,-,-,-,-,-
"합계",도봉구,창1동,2141,699,4381,2296,2085,1984,2488,104,653,33,433,15,384,4,307,1,116,-,-,-,-,-,-
"합계",도봉구,창2동,2020,728,4978,2745,2233,1854,2546,105,688,34,422,21,607,4,305,2,410,-,-,-,-,-,-
"합계",도봉구,창3동,1241,453,2511,1209,1302,1157,1597,60,364,16,215,5,140,3,195,-,-,-,-,-,-,-,-
"합계",도봉구,창4동,1861,630,7981,4289,3692,1561,2370,190,1202,56,738,32,865,12,771,7,897,3,1138,-,-,-,-
"합계",도봉구,창5동,2547,780,7316,3748,3568,2300,3173,144,905,54,707,31,885,12,729,6,917,-,-,-,-,-,-
"합계",도봉구,도봉1동,2147,758,6178,3529,2649,1946,2772,132,812,37,498,18,554,8,528,5,711,1,303,-,-,-,-
"합계",도봉구,도봉2동,2035,652,7780,4261,3519,1826,2541,122,762,48,649,19,520,9,700,8,1187,2,853,1,568,-,-
"합계",노원구,월계1동,1921,692,6647,3762,2885,1735,2522,120,747,40,538,14,392,6,447,5,786,-,-,-,-,1,1215
"합계",노원구,월계2동,1436,433,3961,2126,1835,1327,1687,57,360,25,322,14,409,11,778,1,101,1,304,-,-,-,-
"합계",노원구,월계3동,1536,565,4525,2434,2091,1409,1837,75,477,26,343,16,507,6,407,4,954,-,-,-,-,-,-
"합계",노원구,공릉2동,2754,987,13078,6469,6609,2430,3422,199,1297,67,865,29,905,18,1324,7,1000,-,-,2,1520,2,2745
"합계",노원구,하계1동,1615,604,8965,4375,4590,1366,2091,138,878,62,800,23,691,15,1040,7,950,2,729,1,694,1,1092
"합계",노원구,하계2동,778,301,1687,760,927,720,870,35,235,16,213,5,165,1,79,1,125,-,-,-,-,-,-
"합계",노원구,중계본동,1724,708,5840,2767,3073,1515,2086,121,775,60,776,18,557,6,468,3,475,-,-,1,703,-,-
"합계",노원구,중계1동,1470,649,4522,1891,2631,1258,1784,136,881,52,664,17,523,4,279,3,391,-,-,-,-,-,-
"합계",노원구,중계4동,1410,557,4285,1843,2442,1252,1795,93,578,40,497,10,298,14,1015,1,102,-,-,-,-,-,-
"합계",노원구,상계1동,3934,1096,11608,6353,5255,3560,4663,220,1383,93,1212,41,1229,14,932,3,642,2,870,1,677,-,-
"합계",노원구,상계2동,3325,1399,11074,4866,6208,2842,4576,298,1870,124,1660,40,1089,14,978,7,901,-,-,-,-,-,-
"합계",노원구,상계5동,2755,956,6516,3250,3266,2582,3238,96,602,39,512,27,814,9,586,1,153,-,-,1,611,-,-
"합계",노원구,상계8동,824,381,1943,711,1232,772,1020,26,160,15,210,6,177,5,376,-,-,-,-,-,-,-,-
"합계",노원구,상계9동,1036,390,2848,1265,1583,933,1209,59,363,27,341,9,247,5,339,3,349,-,-,-,-,-,-
